Context-Cat,Category,URL
Shoes|Men&#039;s Shoes,Sandals,http://www.zappos.com/mens-sandals~3k
Shoes|Men&#039;s Shoes,Boat Shoes,http://www.zappos.com/mens-boat-shoes~19
Shoes|Men&#039;s Shoes,Slippers,http://www.zappos.com/mens-slippers~V
Shoes|Men&#039;s Shoes,Clogs & Mules,http://www.zappos.com/mens-clogs-mules~k
Shoes|Men&#039;s Shoes,Insoles & Accessories,http://www.zappos.com/mens-insoles-accessories-shoes~1
Shoes|Men&#039;s Shoes,Climbing,http://www.zappos.com/mens-climbing-shoes~1
Shoes|Men&#039;s Shoes,Flats,http://www.zappos.com/mens-flats~d
Shoes|Girls&#039; Shoes,Sneakers & Athletic Shoes,http://www.zappos.com/girls-sneakers-athletic-shoes~98
Shoes|Girls&#039; Shoes,Sandals,http://www.zappos.com/girls-sandals~2X
Shoes|Girls&#039; Shoes,Flats,http://www.zappos.com/girls-flats~5M
Shoes|Girls&#039; Shoes,Boots,http://www.zappos.com/girls-boots~5D
Shoes|Girls&#039; Shoes,Slippers,http://www.zappos.com/girls-slippers~D
Shoes|Girls&#039; Shoes,Loafers,http://www.zappos.com/girls-loafers~y
Shoes|Girls&#039; Shoes,Boat Shoes,http://www.zappos.com/girls-boat-shoes~4
Shoes|Girls&#039; Shoes,Heels,http://www.zappos.com/girls-heels~m
Shoes|Girls&#039; Shoes,Clogs & Mules,http://www.zappos.com/girls-clogs-mules~x
Shoes|Girls&#039; Shoes,Oxfords,http://www.zappos.com/girls-oxfords-shoes~9
Shoes|Girls&#039; Shoes,Insoles & Accessories,http://www.zappos.com/girls-insoles-accessories/CK_XARC61wHAAQPiAgMBGAI.zso?s=goliveRecentSalesStyle/desc/
Shoes|Boys&#039; Shoes,Sneakers & Athletic Shoes,http://www.zappos.com/boys-sneakers-athletic-shoes~ag
Shoes|Boys&#039; Shoes,Sandals,http://www.zappos.com/boys-sandals~16
Shoes|Boys&#039; Shoes,Boots,http://www.zappos.com/boys-boots~23
Shoes|Boys&#039; Shoes,Loafers,http://www.zappos.com/boys-loafers~v
Shoes|Boys&#039; Shoes,Slippers,http://www.zappos.com/boys-slippers~t
Shoes|Boys&#039; Shoes,Oxfords,http://www.zappos.com/boys-oxfords-shoes~G
Shoes|Boys&#039; Shoes,Boat Shoes,http://www.zappos.com/boys-boat-shoes~5
Shoes|Boys&#039; Shoes,Clogs & Mules,http://www.zappos.com/boys-clogs-mules~7
Shoes|Boys&#039; Shoes,Flats,http://www.zappos.com/boys-flats~4
Shoes|Boys&#039; Shoes,Insoles & Accessories,http://www.zappos.com/boys-insoles-accessories/CK_XARC61wHAAQTiAgMBGAI.zso?s=goliveRecentSalesStyle/desc/
Shoes|Shoes on sale,Sneakers & Athletic Shoes,http://www.zappos.com/sneakers-athletic-shoes/CK_XARC81wHgAQHiAgMBHAI.zso?s=goliveRecentSalesStyle/desc/
Shoes|Shoes on sale,Sandals,http://www.zappos.com/sandals/CK_XARC51wHgAQHiAgMBHAI.zso?s=goliveRecentSalesStyle/desc/
Shoes|Shoes on sale,Heels,http://www.zappos.com/heels/CK_XARC41wHgAQHiAgMBHAI.zso?s=goliveRecentSalesStyle/desc/
Shoes|Shoes on sale,Boots,http://www.zappos.com/boots~1I?s=goliveRecentSalesStyle/desc/
Shoes|Shoes on sale,Flats,http://www.zappos.com/flats/CK_XARC11wHgAQHiAgMBHAI.zso?s=goliveRecentSalesStyle/desc/
Shoes|Shoes on sale,Loafers,http://www.zappos.com/loafers/CK_XARC21wHgAQHiAgMBHAI.zso?s=goliveRecentSalesStyle/desc/
Shoes|Shoes on sale,Oxfords,http://www.zappos.com/oxfords/CK_XARC31wHgAQHiAgMBHAI.zso?s=goliveRecentSalesStyle/desc/
Shoes|Shoes on sale,Boat Shoes,http://www.zappos.com/boat-shoes/CK_XARCy1wHgAQHiAgMBHAI.zso?s=goliveRecentSalesStyle/desc/
Shoes|Shoes on sale,Slippers,http://www.zappos.com/slippers/CK_XARC71wHgAQHiAgMBHAI.zso?s=goliveRecentSalesStyle/desc/
Shoes|Shoes on sale,Clogs & Mules,http://www.zappos.com/clogs-mules/CK_XARC01wHgAQHiAgMBHAI.zso?s=goliveRecentSalesStyle/desc/
Shoes|Shoes on sale,Insoles & Accessories,http://www.zappos.com/insoles-accessories/CK_XARC61wHgAQHiAgMBHAI.zso?s=goliveRecentSalesStyle/desc/
Shoes|Shoes on sale,Climbing,http://www.zappos.com/climbing/CK_XARDK2QHgAQHiAgMBHAI.zso?s=goliveRecentSalesStyle/desc/
Shoes|Shop New Arrivals,Sandals,http://www.zappos.com/sandals~1m
Shoes|Shop New Arrivals,Sneakers & Athletic Shoes,http://www.zappos.com/sneakers-athletic-shoes~1j
Shoes|Shop New Arrivals,Heels,http://www.zappos.com/heels~w
Shoes|Shop New Arrivals,Flats,http://www.zappos.com/flats~B
Shoes|Shop New Arrivals,Loafers,http://www.zappos.com/loafers~s
Shoes|Shop New Arrivals,Oxfords,http://www.zappos.com/oxfords~2
Shoes|Shop New Arrivals,Boots,http://www.zappos.com/boots~1K
Shoes|Shop New Arrivals,Boat Shoes,http://www.zappos.com/boat-shoes~C
Shoes|Shop New Arrivals,Clogs & Mules,http://www.zappos.com/clogs-mules~Y
Shoes|Shop New Arrivals,Slippers,http://www.zappos.com/slippers~i
Shoes|Shop New Arrivals,Insoles & Accessories,http://www.zappos.com/insoles-accessories/CK_XARC61wHQAQHiAgMBGgI.zso?s=isNew/desc/goLiveDate/desc/
